,Parcel calc name,Parcel calc IMOS estimate,Parcel calc concatenated terms,Base cargo IMOS estimate,Top-off cargo IMOS estimate,Voyage sale addr comm(%),Top-off cargo concatenated terms,Base cargo concatenated terms,Voyage sale broker comm(%),Base cargo name,Top-off cargo name,01-12-2022_discount_base,01-12-2022_base price,01-12-2022_discount_top off,01-12-2022_top off price,01-12-2022_Parcel_calc_P&L_,01-12-2022_Customer_price,01-01-2023_discount_base,01-01-2023_base price,01-01-2023_discount_top off,01-01-2023_top off price,01-01-2023_Parcel_calc_P&L_,01-01-2023_Customer_price,01-02-2023_discount_base,01-02-2023_base price,01-02-2023_discount_top off,01-02-2023_top off price,01-02-2023_Parcel_calc_P&L_,01-02-2023_Customer_price,01-03-2023_discount_base,01-03-2023_base price,01-03-2023_discount_top off,01-03-2023_top off price,01-03-2023_Parcel_calc_P&L_,01-03-2023_Customer_price,01-04-2023_discount_base,01-04-2023_base price,01-04-2023_discount_top off,01-04-2023_top off price,01-04-2023_Parcel_calc_P&L_,01-04-2023_Customer_price,Use cranes load,Load rate(MT/day),Load terms,Load draft(m),Cargo,Load port,Use cranes disch,Discharge rate(MT/day),Discharge terms,Discharge draft(m),Discharge port,Stow factor(cbft/mt),Name,Report
0,45k iron NP Qingdao + 30k SBM Santos Kohsichang,RGE2-08498,41128 IRON ORE+15209 SOYABEANMEAL,RGE2-08649,RGE2-08470,3.75,64633 SOYABEANMEAL SANTOS,41286 IRON ORE NUEVA PALMIRA,0.0,45/10 NP/China,sbm Santos 13.30/Kohsichang,-2,47.37825610853803,-3,45.60018708808287,286988.73048415687,42.60018708808287,-1,45.58401910739999,-3,44.23517878633346,312348.97929814004,41.23517878633346,-1,40.34229272719039,-4,42.54016960137981,297965.0642515186,38.54016960137981,-3,39.512192454297235,-2,36.97003916899334,164007.20442906534,34.97003916899334,-2,40.92721383209173,-3,37.96055931833325,192325.65384320926,34.96055931833325,True,8000,SHEX2,13.3,SOYABEANMEAL,SANTOS,True,20000,SHINC,,KOHSICHANG TPP,53.000000000000014,SOYABEANMEAL 53.0 SANTOS/ KOHSICHANG TPP,SOYABEANMEAL//THAILAND
1,ironsoy1,RGE2-08502,41701 IRON ORE+19142 SOYABEANMEAL,RGE2-08649,RGE2-08470,3.75,64633 SOYABEANMEAL SANTOS,41286 IRON ORE NUEVA PALMIRA,0.0,45/10 NP/China,sbm Santos 13.30/Kohsichang,-2,47.37825610853803,-3,45.60018708808287,181584.12195460126,42.60018708808287,-1,45.58401910739999,-3,44.23517878633346,278802.3452461185,41.23517878633346,-1,40.34229272719039,-4,42.54016960137981,159026.9048405462,38.54016960137981,-3,39.512192454297235,-2,36.97003916899334,107222.70096791,34.97003916899334,-2,40.92721383209173,-3,37.96055931833325,172290.5642979173,34.96055931833325,True,8000,SHEX2,13.3,SOYABEANMEAL,SANTOS,True,20000,SHINC,,KOHSICHANG TPP,53.000000000000014,SOYABEANMEAL 53.0 SANTOS/ KOHSICHANG TPP,SOYABEANMEAL//THAILAND
2,ironsoy2,RGE2-08469,49500 IRON ORE+23167 SOYABEANMEAL,RGE2-08649,RGE2-08470,3.75,64633 SOYABEANMEAL SANTOS,41286 IRON ORE NUEVA PALMIRA,0.0,45/10 NP/China,sbm Santos 13.30/Kohsichang,-2,47.37825610853803,-3,45.60018708808287,-419589.2501146381,42.60018708808287,-1,45.58401910739999,-3,44.23517878633346,-258921.06666047452,41.23517878633346,-1,40.34229272719039,-4,42.54016960137981,-358497.0283893768,38.54016960137981,-3,39.512192454297235,-2,36.97003916899334,-382737.6534590954,34.97003916899334,-2,40.92721383209173,-3,37.96055931833325,-315287.8436553243,34.96055931833325,True,8000,SHEX2,13.3,SOYABEANMEAL,SANTOS,True,20000,SHINC,,KOHSICHANG TPP,53.000000000000014,SOYABEANMEAL 53.0 SANTOS/ KOHSICHANG TPP,SOYABEANMEAL//THAILAND
3,ironsoy3,RGE2-08504,49500 IRON ORE+31127 SOYABEANMEAL,RGE2-08649,RGE2-08470,3.75,64633 SOYABEANMEAL SANTOS,41286 IRON ORE NUEVA PALMIRA,0.0,45/10 NP/China,sbm Santos 13.30/Kohsichang,-2,47.37825610853803,-3,45.60018708808287,-119880.06023801304,42.60018708808287,-1,45.58401910739999,-3,44.23517878633346,33632.12429174548,41.23517878633346,-1,40.34229272719039,-4,42.54016960137981,-83760.31259387266,38.54016960137981,-3,39.512192454297235,-2,36.97003916899334,-133122.34707244742,34.97003916899334,-2,40.92721383209173,-3,37.96055931833325,-66804.14399947273,34.96055931833325,True,8000,SHEX2,13.3,SOYABEANMEAL,SANTOS,True,20000,SHINC,,KOHSICHANG TPP,53.000000000000014,SOYABEANMEAL 53.0 SANTOS/ KOHSICHANG TPP,SOYABEANMEAL//THAILAND
4,ironsoy4,RGE2-08516,43500 IRON ORE+60544 SOYABEANMEAL,RGE2-08649,RGE2-08470,3.75,64633 SOYABEANMEAL SANTOS,41286 IRON ORE NUEVA PALMIRA,0.0,45/10 NP/China,sbm Santos 13.30/Kohsichang,-2,47.37825610853803,-3,45.60018708808287,593498.3147924347,42.60018708808287,-1,45.58401910739999,-3,44.23517878633346,689962.3107989195,41.23517878633346,-1,40.34229272719039,-4,42.54016960137981,505728.9113967926,38.54016960137981,-3,39.512192454297235,-2,36.97003916899334,356447.9393217594,34.97003916899334,-2,40.92721383209173,-3,37.96055931833325,377266.05838376307,34.96055931833325,True,8000,SHEX2,13.3,SOYABEANMEAL,SANTOS,True,20000,SHINC,,KOHSICHANG TPP,53.000000000000014,SOYABEANMEAL 53.0 SANTOS/ KOHSICHANG TPP,SOYABEANMEAL//THAILAND
5,41 io + 15 maize,RGE2-08544,41206 IRON ORE+15208 MAIZE,RGE2-08649,RGE2-08543,3.75,72866 MAIZE SANTOS,41286 IRON ORE NUEVA PALMIRA,0.0,45/10 NP/China,15000 maize Santos 13.30/Cai Mep 14.5 (supramax),-2,47.37825610853803,-5,40.020046406385475,-302171.21891992283,35.020046406385475,-1,45.58401910739999,-6,38.37189764802819,-295106.4037998102,32.37189764802819,-1,40.34229272719039,-6,33.17019477248097,-438734.0341395859,27.17019477248097,-3,39.512192454297235,-1,32.417327781712935,-398164.9396120334,31.417327781712935,-2,40.92721383209173,-4,33.98018796999613,-384253.17392286565,29.98018796999613,True,8000,SHEX2,13.3,MAIZE,SANTOS,True,10000,SHINC,14.5,CAI MEP,46.0,MAIZE 46.0 SANTOS/ CAI MEP,MAIZE//VIETNAM
6,42 io + 17 maize,RGE2-08545,41813 IRON ORE+17000 MAIZE,RGE2-08649,RGE2-08543,3.75,72866 MAIZE SANTOS,41286 IRON ORE NUEVA PALMIRA,0.0,45/10 NP/China,15000 maize Santos 13.30/Cai Mep 14.5 (supramax),-2,47.37825610853803,-5,40.020046406385475,-184636.22811866924,35.020046406385475,-1,45.58401910739999,-6,38.37189764802819,-184692.16554634855,32.37189764802819,-1,40.34229272719039,-6,33.17019477248097,-344411.1254392719,27.17019477248097,-3,39.512192454297235,-1,32.417327781712935,-300126.3257246035,31.417327781712935,-2,40.92721383209173,-4,33.98018796999613,-285781.7884491314,29.98018796999613,True,8000,SHEX2,13.3,MAIZE,SANTOS,True,10000,SHINC,14.5,CAI MEP,46.0,MAIZE 46.0 SANTOS/ CAI MEP,MAIZE//VIETNAM
7,49.5 io + 23 maize,RGE2-08550,49500 IRON ORE+23241 MAIZE,RGE2-08649,RGE2-08543,3.75,72866 MAIZE SANTOS,41286 IRON ORE NUEVA PALMIRA,0.0,45/10 NP/China,15000 maize Santos 13.30/Cai Mep 14.5 (supramax),-2,47.37825610853803,-5,40.020046406385475,-1235334.234111888,35.020046406385475,-1,45.58401910739999,-6,38.37189764802819,-1203631.4188228578,32.37189764802819,-1,40.34229272719039,-6,33.17019477248097,-1332415.9293826923,27.17019477248097,-3,39.512192454297235,-1,32.417327781712935,-1220259.3868048147,31.417327781712935,-2,40.92721383209173,-4,33.98018796999613,-1240798.4947943655,29.98018796999613,True,8000,SHEX2,13.3,MAIZE,SANTOS,True,10000,SHINC,14.5,CAI MEP,46.0,MAIZE 46.0 SANTOS/ CAI MEP,MAIZE//VIETNAM
8,49.5 io + 30 maize,RGE2-08551,49500 IRON ORE+30000 SOYABEANMEAL,RGE2-08649,RGE2-08543,3.75,72866 MAIZE SANTOS,41286 IRON ORE NUEVA PALMIRA,0.0,45/10 NP/China,15000 maize Santos 13.30/Cai Mep 14.5 (supramax),-2,47.37825610853803,-5,40.020046406385475,-1053022.5914637924,35.020046406385475,-1,45.58401910739999,-6,38.37189764802819,-1037115.0290468403,32.37189764802819,-1,40.34229272719039,-6,33.17019477248097,-1196609.0949577258,27.17019477248097,-3,39.512192454297235,-1,32.417327781712935,-1053068.4440387974,31.417327781712935,-2,40.92721383209173,-4,33.98018796999613,-1085481.2922643828,29.98018796999613,True,8000,SHEX2,13.3,MAIZE,SANTOS,True,10000,SHINC,14.5,CAI MEP,46.0,MAIZE 46.0 SANTOS/ CAI MEP,MAIZE//VIETNAM
9,41 io + 15 sbm,RGE2-08542,41206 IRON ORE+15208 SOYABEANMEAL,RGE2-08649,RGE2-08537,3.75,64633 SOYABEANMEAL SANTOS,41286 IRON ORE NUEVA PALMIRA,0.0,45/10 NP/China,15000 sbm Santos 13.30/Cai Mep 14.5 (supramax),-2,47.37825610853803,-5,45.74416657064578,-245118.79946185206,40.74416657064578,-1,45.58401910739999,-6,43.79870315141383,-242575.54570432124,37.79870315141383,-1,40.34229272719039,-6,37.944430469244665,-396127.45766320336,31.944430469244665,-3,39.512192454297235,-1,37.06234903703026,-357523.4563611675,36.06234903703026,-2,40.92721383209173,-4,38.704871842838465,-342400.18158467964,34.704871842838465,True,8000,SHEX2,13.3,SOYABEANMEAL,SANTOS,True,10000,SHINC,14.5,CAI MEP,53.000000000000014,SOYABEANMEAL 53.0 SANTOS/ CAI MEP,SOYABEANMEAL//VIETNAM
10,42 io + 17 sbm,RGE2-08541,41810 IRON ORE+19450 SOYABEANMEAL,RGE2-08649,RGE2-08537,3.75,64633 SOYABEANMEAL SANTOS,41286 IRON ORE NUEVA PALMIRA,0.0,45/10 NP/China,15000 sbm Santos 13.30/Cai Mep 14.5 (supramax),-2,47.37825610853803,-5,45.74416657064578,-8156.949930371018,40.74416657064578,-1,45.58401910739999,-6,43.79870315141383,-19703.811448531458,37.79870315141383,-1,40.34229272719039,-6,37.944430469244665,-203219.96976807714,31.944430469244665,-3,39.512192454297235,-1,37.06234903703026,-150056.55735085835,36.06234903703026,-2,40.92721383209173,-4,38.704871842838465,-138470.0009984919,34.704871842838465,True,8000,SHEX2,13.3,SOYABEANMEAL,SANTOS,True,10000,SHINC,14.5,CAI MEP,53.000000000000014,SOYABEANMEAL 53.0 SANTOS/ CAI MEP,SOYABEANMEAL//VIETNAM
11,49.5 io + 23 sbm,RGE2-08540,49500 IRON ORE+23241 SOYABEANMEAL,RGE2-08649,RGE2-08537,3.75,64633 SOYABEANMEAL SANTOS,41286 IRON ORE NUEVA PALMIRA,0.0,45/10 NP/China,15000 sbm Santos 13.30/Cai Mep 14.5 (supramax),-2,47.37825610853803,-5,45.74416657064578,-1004107.6011801355,40.74416657064578,-1,45.58401910739999,-6,43.79870315141383,-988578.1057541328,37.79870315141383,-1,40.34229272719039,-6,37.944430469244665,-1141792.4210193076,31.944430469244665,-3,39.512192454297235,-1,37.06234903703026,-1036344.3232069409,36.06234903703026,-2,40.92721383209173,-4,38.704871842838465,-1060590.0502003767,34.704871842838465,True,8000,SHEX2,13.3,SOYABEANMEAL,SANTOS,True,10000,SHINC,14.5,CAI MEP,53.000000000000014,SOYABEANMEAL 53.0 SANTOS/ CAI MEP,SOYABEANMEAL//VIETNAM
12,49.5 io + 27 sbm,RGE2-08539,49500 IRON ORE+27000 SOYABEANMEAL,RGE2-08649,RGE2-08537,3.75,64633 SOYABEANMEAL SANTOS,41286 IRON ORE NUEVA PALMIRA,0.0,45/10 NP/China,15000 sbm Santos 13.30/Cai Mep 14.5 (supramax),-2,47.37825610853803,-5,45.74416657064578,-979390.8510891697,40.74416657064578,-1,45.58401910739999,-6,43.79870315141383,-964500.0198145127,37.79870315141383,-1,40.34229272719039,-6,37.944430469244665,-1127982.953260049,31.944430469244665,-3,39.512192454297235,-1,37.06234903703026,-1001861.011630368,36.06234903703026,-2,40.92721383209173,-4,38.704871842838465,-1026852.7782213786,34.704871842838465,True,8000,SHEX2,13.3,SOYABEANMEAL,SANTOS,True,10000,SHINC,14.5,CAI MEP,53.000000000000014,SOYABEANMEAL 53.0 SANTOS/ CAI MEP,SOYABEANMEAL//VIETNAM
